MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2019-2020_Everton_Arsenal,2019-2020,18,2019-12-21,12:30,Everton,Arsenal,0,0,D,0.0,0.0,D,K Friend,9.0,6.0,0.0,2.0,5.0,4.0,10.0,11.0,2.0,3.0,0.0,0.0,2.3,3.8,2.87,1.57,2.37,2.4,3.88,3.0,2.33,3.75,2.9,1.61,2.55,1.57,2.4,1,1
2019-2020_Bournemouth_Arsenal,2019-2020,19,2019-12-26,15:00,Bournemouth,Arsenal,1,1,D,1.0,0.0,H,S Attwell,12.0,17.0,4.0,2.0,8.0,3.0,5.0,13.0,4.0,4.0,0.0,0.0,3.5,3.9,1.95,1.57,2.37,3.65,4.0,2.08,3.5,3.85,2.01,1.59,2.55,1.55,2.43,1,1
2019-2020_Arsenal_Chelsea,2019-2020,20,2019-12-29,14:00,Arsenal,Chelsea,1,2,A,1.0,0.0,H,C Pawson,7.0,13.0,2.0,4.0,2.0,3.0,13.0,19.0,5.0,4.0,0.0,0.0,2.87,3.75,2.3,1.53,2.5,3.0,3.86,2.45,2.86,3.73,2.35,1.59,2.63,1.53,2.48,0,3
2019-2020_Arsenal_Man United,2019-2020,21,2020-01-01,20:00,Arsenal,Man United,2,0,H,2.0,0.0,H,C Kavanagh,10.0,10.0,4.0,4.0,1.0,4.0,11.0,15.0,2.0,0.0,0.0,0.0,2.55,3.6,2.62,1.66,2.2,2.65,3.8,2.7,2.58,3.64,2.61,1.69,2.35,1.64,2.26,3,0
2019-2020_Crystal Palace_Arsenal,2019-2020,22,2020-01-11,12:30,Crystal Palace,Arsenal,1,1,D,0.0,1.0,A,P Tierney,6.0,7.0,3.0,4.0,1.0,4.0,14.0,22.0,2.0,3.0,0.0,1.0,4.1,3.9,1.8,1.8,2.0,4.45,4.1,1.9,4.19,3.87,1.83,1.88,2.12,1.8,2.03,1,1
2019-2020_Arsenal_Sheffield United,2019-2020,23,2020-01-18,15:00,Arsenal,Sheffield United,1,1,D,1.0,0.0,H,M Dean,11.0,12.0,4.0,4.0,4.0,5.0,9.0,13.0,1.0,2.0,0.0,0.0,1.83,3.6,4.33,2.0,1.8,1.9,3.72,4.7,1.85,3.61,4.46,2.09,1.97,1.99,1.83,1,1
2019-2020_Chelsea_Arsenal,2019-2020,24,2020-01-21,20:15,Chelsea,Arsenal,2,2,D,1.0,0.0,H,S Attwell,19.0,2.0,8.0,2.0,17.0,5.0,11.0,6.0,2.0,1.0,0.0,1.0,1.72,3.9,4.5,1.72,2.1,1.79,4.1,5.2,1.74,3.95,4.71,1.73,2.29,1.68,2.2,1,1
2019-2020_Burnley_Arsenal,2019-2020,25,2020-02-02,14:00,Burnley,Arsenal,0,0,D,0.0,0.0,D,C Kavanagh,15.0,13.0,2.0,2.0,5.0,7.0,8.0,11.0,1.0,3.0,0.0,0.0,3.6,3.6,2.0,1.9,1.9,3.95,3.65,2.1,3.75,3.53,2.02,1.94,2.0,1.9,1.91,1,1
2019-2020_Arsenal_Newcastle,2019-2020,26,2020-02-16,16:30,Arsenal,Newcastle,4,0,H,0.0,0.0,D,L Mason,15.0,10.0,7.0,2.0,5.0,6.0,15.0,9.0,2.0,0.0,0.0,0.0,1.4,4.75,8.0,1.72,2.1,1.47,4.98,8.75,1.43,4.6,7.72,1.81,2.26,1.72,2.13,3,0
2019-2020_Arsenal_Everton,2019-2020,27,2020-02-23,16:30,Arsenal,Everton,3,2,H,2.0,2.0,D,S Attwell,9.0,17.0,4.0,5.0,6.0,3.0,12.0,12.0,0.0,4.0,0.0,0.0,2.0,3.6,3.7,1.72,2.1,2.12,3.8,3.88,2.04,3.6,3.63,1.77,2.19,1.73,2.11,3,0
2019-2020_Arsenal_West Ham,2019-2020,29,2020-03-07,15:00,Arsenal,West Ham,1,0,H,0.0,0.0,D,M Atkinson,9.0,14.0,2.0,6.0,6.0,7.0,11.0,9.0,1.0,2.0,0.0,0.0,1.57,4.4,5.5,1.57,2.37,1.62,4.5,6.21,1.56,4.37,5.78,1.66,2.45,1.6,2.35,3,0
2019-2020_Man City_Arsenal,2019-2020,30,2020-06-17,20:15,Man City,Arsenal,3,0,H,1.0,0.0,H,A Taylor,20.0,3.0,12.0,0.0,5.0,2.0,9.0,7.0,1.0,1.0,0.0,1.0,1.36,5.25,7.5,1.36,3.2,1.4,6.05,9.0,1.35,5.5,8.11,1.42,3.23,1.38,3.04,3,0
2019-2020_Brighton_Arsenal,2019-2020,30,2020-06-20,15:00,Brighton,Arsenal,2,1,H,0.0,0.0,D,M Atkinson,9.0,13.0,5.0,6.0,10.0,7.0,13.0,8.0,2.0,1.0,0.0,0.0,3.1,3.25,2.37,1.9,1.9,3.4,3.52,2.52,3.04,3.37,2.39,2.01,2.0,1.93,1.89,3,0
2019-2020_Southampton_Arsenal,2019-2020,31,2020-06-25,18:00,Southampton,Arsenal,0,2,A,0.0,1.0,A,G Scott,12.0,10.0,3.0,5.0,4.0,6.0,10.0,14.0,0.0,2.0,1.0,0.0,2.6,3.5,2.62,1.8,2.0,2.75,3.65,2.8,2.64,3.47,2.65,1.87,2.13,1.8,2.03,0,3
2019-2020_Arsenal_Norwich,2019-2020,32,2020-07-01,18:00,Arsenal,Norwich,4,0,H,2.0,0.0,H,P Bankes,13.0,8.0,8.0,2.0,6.0,2.0,10.0,10.0,1.0,4.0,0.0,0.0,1.44,4.75,7.0,1.72,2.1,1.48,4.9,8.2,1.44,4.69,7.23,1.77,2.28,1.7,2.18,3,0
2019-2020_Wolves_Arsenal,2019-2020,33,2020-07-04,17:30,Wolves,Arsenal,0,2,A,0.0,1.0,A,M Oliver,10.0,8.0,1.0,5.0,3.0,5.0,6.0,11.0,2.0,4.0,0.0,0.0,2.25,3.4,3.25,2.1,1.72,2.36,3.48,3.5,2.27,3.3,3.32,2.22,1.83,2.1,1.75,0,3
2019-2020_Arsenal_Leicester,2019-2020,34,2020-07-07,20:15,Arsenal,Leicester,1,1,D,1.0,0.0,H,C Kavanagh,11.0,13.0,7.0,5.0,10.0,1.0,10.0,14.0,1.0,0.0,1.0,0.0,2.3,3.5,3.0,1.9,1.9,2.49,3.59,3.15,2.38,3.43,3.03,1.99,2.05,1.88,1.95,1,1
